name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.04988419786828999,0.04988419786828999
u_t_amb,7.982403532103135e-05,7.982403532103135e-05
capex_pv,0.12007020217561827,0.12007020217561827
opex_pv,0.0077260885434255995,0.0077260885434255995
capex_pemel,0.24710873518349985,0.24710873518349985
opex_pemel,0.0464325662566123,0.0464325662566123
life_pemel,0.00828321218916006,0.00828321218916006
repl_pemel,2.665330780597001e-05,2.665330780597001e-05
capex_dcdc,0.044062945597283805,0.044062945597283805
opex_dcdc,0.020522334767018532,0.020522334767018532
int_rate,0.37393632482672584,0.37393632482672584
infl_rate,0.08186691524923885,0.08186691524923885
