name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.058711360018473754,0.058711360018473754
u_t_amb,0.00014335536570726055,0.00014335536570726055
capex_pv,0.10808859034758435,0.10808859034758435
opex_pv,0.004890133562145961,0.004890133562145961
capex_pemel,0.36438940314153007,0.36438940314153007
opex_pemel,0.06020083781909456,0.06020083781909456
life_pemel,0.013557450773483314,0.013557450773483314
repl_pemel,0.00022975990556766795,0.00022975990556766795
capex_dcdc,0.0005305157986244926,0.0005305157986244926
opex_dcdc,0.004120140872871367,0.004120140872871367
int_rate,0.3064515548750105,0.3064515548750105
infl_rate,0.07868689751990661,0.07868689751990661
