name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.16545097589895782,0.16814780576210758
u_t_amb,0.00016426610302780438,0.0004806294108495474
capex_pv,0.02569432589490296,0.02602653766125306
opex_pv,0.0009097713510903422,0.0013448423338196676
capex_pemel,0.4026337105250274,0.40829530607816605
opex_pemel,0.07614188714568947,0.07800801251986159
life_pemel,0.018376669969383613,0.01948858705513441
repl_pemel,0.00011257245961296765,0.0005894478270129873
capex_dcdc,0.007989812913845477,0.00901966004121658
opex_dcdc,0.0025900036051221273,0.003058035584957496
int_rate,0.22168352106691452,0.22682335951883562
infl_rate,0.06833568080970327,0.06863457846350754
