name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.14591886175054763,0.14591886175054763
u_t_amb,0.00039028652391919226,0.00039028652391919226
capex_pv,0.02518751897648505,0.02518751897648505
opex_pv,0.0011194259386324928,0.0011194259386324928
capex_pemel,0.4262681872915344,0.4262681872915344
opex_pemel,0.060487334027054876,0.060487334027054876
life_pemel,0.024833612222461755,0.024833612222461755
repl_pemel,4.468420598465643e-06,4.468420598465643e-06
capex_dcdc,0.00665382237375757,0.00665382237375757
opex_dcdc,0.005824206758046667,0.005824206758046667
int_rate,0.23792849261637897,0.23792849261637897
infl_rate,0.06538378310058303,0.06538378310058303
