u_sol_irr,u_t_amb,capex_pv,opex_pv,capex_pemel,opex_pemel,life_pemel,repl_pemel,capex_dcdc,opex_dcdc,int_rate,infl_rate,LCOH,mh2
0.903737,0.014948,413.142776,18.452675,1622.248077,0.033596,81836.24268,0.156431,194.461823,0.0384,0.066474,0.022953,14.794958,104.418871
0.905299,-0.253802,544.002151,18.101112,1868.341827,0.03219,72773.74268,0.173228,126.493073,0.019962,0.051786,0.029672,14.847073,104.614067
1.005299,0.146198,419.002151,16.601112,1518.341827,0.04219,92773.74268,0.198228,176.493073,0.039962,0.071786,0.019672,13.83382,112.802978
1.055299,-0.053802,356.502151,18.851112,1693.341827,0.03719,82773.74268,0.160728,101.493073,0.049962,0.041786,0.014672,12.594612,116.623165
0.955299,0.346198,481.502151,17.351112,2043.341827,0.04719,62773.74268,0.185728,151.493073,0.029962,0.061786,0.024672,18.552268,108.744201
0.980299,-0.153802,450.252151,17.726112,1605.841827,0.04969,77773.74268,0.191978,138.993073,0.044962,0.046786,0.017172,14.504136,110.887252
1.080299,0.246198,575.252151,16.226112,1955.841827,0.03969,97773.74268,0.166978,188.993073,0.024962,0.066786,0.027172,15.257545,118.386662
1.030299,-0.353802,512.752151,18.476112,1780.841827,0.04469,87773.74268,0.179478,113.993073,0.014962,0.056786,0.022172,14.39831,114.827669
0.930299,0.046198,387.752151,16.976112,1430.841827,0.03469,67773.74268,0.154478,163.993073,0.034962,0.076786,0.012172,14.575889,106.705125
0.942799,-0.003802,497.127151,16.038612,1562.091827,0.03344,70273.74268,0.176353,145.243073,0.017462,0.079286,0.013422,15.785221,107.776199
1.042799,0.396198,372.127151,17.538612,1912.091827,0.04344,90273.74268,0.151353,195.243073,0.037462,0.059286,0.023422,14.956217,115.604501
1.092799,-0.203802,434.627151,16.788612,2087.091827,0.03844,80273.74268,0.188853,120.243073,0.047462,0.069286,0.028422,16.180228,119.375622
0.992799,0.196198,559.627151,18.288612,1737.091827,0.04844,60273.74268,0.163853,170.243073,0.027462,0.049286,0.018422,15.651402,111.806001
0.967799,-0.303802,403.377151,16.413612,1999.591827,0.04594,75273.74268,0.157603,132.743073,0.042462,0.064286,0.020922,17.890535,109.911431
1.067799,0.096198,528.377151,17.913612,1649.591827,0.03594,95273.74268,0.182603,182.743073,0.022462,0.044286,0.010922,12.546978,117.507743
1.017799,-0.103802,590.877151,17.163612,1474.591827,0.04094,85273.74268,0.170103,107.743073,0.012462,0.074286,0.015922,14.127637,113.826549
0.917799,0.296198,465.877151,18.663612,1824.591827,0.03094,65273.74268,0.195103,157.743073,0.032462,0.054286,0.025922,14.853963,105.579901
0.924049,-0.128802,379.939651,18.569862,2021.466827,0.035315,94023.74268,0.184166,154.618073,0.023712,0.045536,0.012797,15.663818,106.207273
1.024049,0.271198,504.939651,17.069862,1671.466827,0.045315,74023.74268,0.159166,104.618073,0.043712,0.065536,0.022797,14.973831,114.22076
1.074049,-0.328802,567.439651,17.819862,1496.466827,0.030315,64023.74268,0.196666,179.618073,0.033712,0.055536,0.027797,11.568759,118.054918
0.974049,0.071198,442.439651,16.319862,1846.466827,0.040315,84023.74268,0.171666,129.618073,0.013712,0.075536,0.017797,17.261345,110.337175
0.999049,-0.228802,536.189651,18.944862,1408.966827,0.042815,99023.74268,0.152916,167.118073,0.038712,0.050536,0.020297,12.065081,112.397838
1.099049,0.171198,411.189651,17.444862,1758.966827,0.032815,79023.74268,0.177916,117.118073,0.018712,0.070536,0.010297,14.74218,119.734716
1.049049,-0.028802,473.689651,18.194862,1933.966827,0.047815,69023.74268,0.165416,192.118073,0.028712,0.040536,0.015297,15.721856,116.158923
0.949049,0.371198,598.689651,16.694862,1583.966827,0.037815,89023.74268,0.190416,142.118073,0.048712,0.060536,0.025297,13.663167,108.216664
0.936549,-0.378802,426.814651,17.257362,1715.216827,0.039065,91523.74268,0.168541,173.368073,0.021212,0.063036,0.029047,14.110046,107.328447
1.036549,0.021198,551.814651,18.757362,2065.216827,0.049065,71523.74268,0.193541,123.368073,0.041212,0.043036,0.019047,17.037106,115.217068
1.086549,-0.178802,489.314651,16.507362,1890.216827,0.034065,61523.74268,0.156041,198.368073,0.031212,0.073036,0.014047,16.352322,118.927135
0.986549,0.221198,364.314651,18.007362,1540.216827,0.044065,81523.74268,0.181041,148.368073,0.011212,0.053036,0.024047,12.987105,111.306432
0.961549,-0.078802,583.064651,16.882362,1802.716827,0.041565,96523.74268,0.199791,160.868073,0.036212,0.078036,0.016547,17.801478,109.351594
1.061549,0.321198,458.064651,18.382362,1452.716827,0.031565,76523.74268,0.174791,110.868073,0.016212,0.058036,0.026547,11.103754,116.999485
1.011549,-0.278802,395.564651,16.132362,1627.716827,0.046565,66523.74268,0.187291,185.868073,0.026212,0.068036,0.021547,15.070718,113.383749
0.911549,0.121198,520.564651,17.632362,1977.716827,0.036565,86523.74268,0.162291,135.868073,0.046212,0.048036,0.011547,16.519575,105.076356
0.908424,-0.066302,438.533401,16.460487,1485.529327,0.044378,63398.74268,0.192759,184.305573,0.018087,0.059911,0.027485,14.047471,104.84634
1.008424,0.333698,563.533401,17.960487,1835.529327,0.034378,83398.74268,0.167759,134.305573,0.038087,0.079911,0.017485,17.170733,113.007374
1.058424,-0.266302,501.033401,17.210487,2010.529327,0.049378,93398.74268,0.180259,159.305573,0.048087,0.049911,0.012485,16.596042,116.897174
0.958424,0.133698,376.033401,18.710487,1660.529327,0.039378,73398.74268,0.155259,109.305573,0.028087,0.069911,0.022485,14.93816,109.048348
0.983424,-0.366302,594.783401,16.085487,2098.029327,0.036878,68398.74268,0.174009,196.805573,0.043087,0.044911,0.019985,16.574578,111.182464
1.083424,0.033698,469.783401,17.585487,1748.029327,0.046878,88398.74268,0.199009,146.805573,0.023087,0.064911,0.029985,13.878956,118.65714
1.033424,-0.166302,407.283401,16.835487,1573.029327,0.031878,98398.74268,0.161509,171.805573,0.013087,0.054911,0.024985,11.235713,115.022745
0.933424,0.233698,532.283401,18.335487,1923.029327,0.041878,78398.74268,0.186509,121.805573,0.033087,0.074911,0.014985,19.435637,106.929415
0.945924,-0.216302,360.408401,17.772987,1791.779327,0.040628,60898.74268,0.158384,190.555573,0.015587,0.072411,0.011235,17.61066,108.08516
1.045924,0.183698,485.408401,16.272987,1441.779327,0.030628,80898.74268,0.183384,140.555573,0.035587,0.052411,0.021235,11.192498,115.88145
1.095924,-0.016302,547.908401,18.522987,1616.779327,0.045628,90898.74268,0.170884,165.555573,0.045587,0.062411,0.026235,13.31698,119.555523
0.995924,0.383698,422.908401,17.022987,1966.779327,0.035628,70898.74268,0.195884,115.555573,0.025587,0.042411,0.016235,14.924873,112.013611
0.970924,-0.116302,516.658401,18.147987,1704.279327,0.038128,65898.74268,0.177134,178.055573,0.040587,0.067411,0.023735,15.546056,110.124088
1.070924,0.283698,391.658401,16.647987,2054.279327,0.048128,85898.74268,0.152134,128.055573,0.020587,0.047411,0.013735,15.769804,117.693836
1.020924,-0.316302,454.158401,18.897987,1879.279327,0.033128,95898.74268,0.189634,153.055573,0.010587,0.077411,0.018735,15.903466,114.109921
0.920924,0.083698,579.158401,17.397987,1529.279327,0.043128,75898.74268,0.164634,103.055573,0.030587,0.057411,0.028735,14.009079,105.89404
0.914674,-0.341302,477.595901,16.929237,1638.654327,0.047503,84648.74268,0.150572,112.430573,0.024337,0.043661,0.01061,14.687088,105.450724
1.014674,0.058698,352.595901,18.429237,1988.654327,0.037503,64648.74268,0.175572,162.430573,0.044337,0.063661,0.02061,16.408294,113.552469
1.064674,-0.141302,415.095901,16.179237,1813.654327,0.042503,74648.74268,0.163072,137.430573,0.034337,0.053661,0.02561,13.993107,117.33171
0.964674,0.258698,540.095901,17.679237,1463.654327,0.032503,94648.74268,0.188072,187.430573,0.014337,0.073661,0.01561,13.875018,109.533488
0.989674,-0.041302,383.845901,17.304237,1901.154327,0.030003,89648.74268,0.181822,124.930573,0.039337,0.058661,0.02311,13.697845,111.611175
1.089674,0.358698,508.845901,18.804237,1551.154327,0.040003,69648.74268,0.156822,174.930573,0.019337,0.078661,0.01311,14.963437,119.034355
1.039674,-0.241302,571.345901,16.554237,1726.154327,0.035003,79648.74268,0.194322,149.930573,0.029337,0.048661,0.01811,13.658263,115.508641
0.939674,0.158698,446.345901,18.054237,2076.154327,0.045003,99648.74268,0.169322,199.930573,0.049337,0.068661,0.02811,18.229365,107.47472
0.927174,-0.191302,555.720901,18.991737,1944.904327,0.046253,82148.74268,0.197447,118.680573,0.021837,0.066161,0.02686,18.348924,106.488754
1.027174,0.208698,430.720901,17.491737,1594.904327,0.036253,62148.74268,0.172447,168.680573,0.041837,0.046161,0.01686,12.713111,114.470732
1.077174,-0.391302,368.220901,18.241737,1419.904327,0.041253,72148.74268,0.184947,143.680573,0.031837,0.076161,0.01186,13.52964,118.298857
0.977174,0.008698,493.220901,16.741737,1769.904327,0.031253,92148.74268,0.159947,193.680573,0.011837,0.056161,0.02186,13.447205,110.602171
0.952174,-0.291302,461.970901,18.616737,1507.404327,0.033753,87148.74268,0.166197,106.180573,0.036837,0.071161,0.01936,13.488639,108.625381
1.052174,0.108698,586.970901,17.116737,1857.404327,0.043753,67148.74268,0.191197,156.180573,0.016837,0.051161,0.02936,14.721623,116.359251
1.002174,-0.091302,524.470901,17.866737,2032.404327,0.038753,77148.74268,0.153697,131.180573,0.026837,0.061161,0.02436,16.63963,112.611661
0.902174,0.308698,399.470901,16.366737,1682.404327,0.048753,97148.74268,0.178697,181.180573,0.046837,0.041161,0.01436,14.826155,104.217736
0.902956,-0.306927,472.713089,17.644081,2040.607452,0.043206,70117.49268,0.186314,177.664948,0.047931,0.058192,0.016781,19.304502,104.421162
1.002956,0.093073,597.713089,16.144081,1690.607452,0.033206,90117.49268,0.161314,127.664948,0.027931,0.078192,0.026781,14.540951,112.632594
1.052956,-0.106927,535.213089,18.394081,1515.607452,0.048206,80117.49268,0.198814,152.664948,0.017931,0.048192,0.021781,13.053914,116.462736
0.952956,0.293073,410.213089,16.894081,1865.607452,0.038206,60117.49268,0.173814,102.664948,0.037931,0.068192,0.011781,17.475093,108.560783
0.977956,-0.006927,566.463089,18.019081,1428.107452,0.035706,75117.49268,0.155064,190.164948,0.012931,0.043192,0.029281,11.236121,110.668097
1.077956,0.393073,441.463089,16.519081,1778.107452,0.045706,95117.49268,0.180064,140.164948,0.032931,0.063192,0.019281,14.631292,118.181325
1.027956,-0.206927,378.963089,18.769081,1953.107452,0.030706,85117.49268,0.167564,165.164948,0.042931,0.053192,0.014281,14.860692,114.619196
0.927956,0.193073,503.963089,17.269081,1603.107452,0.040706,65117.49268,0.192564,115.164948,0.022931,0.073192,0.024281,15.698248,106.471028
0.940456,-0.156927,394.588089,16.706581,1734.357452,0.041956,72617.49268,0.164439,196.414948,0.045431,0.070692,0.020531,16.573402,107.609137
1.040456,0.243073,519.588089,18.206581,2084.357452,0.031956,92617.49268,0.189439,146.414948,0.025431,0.050692,0.010531,15.462094,115.462943
