name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.07800212581814031,0.07800212581814031
u_t_amb,0.00038378531898349976,0.00038378531898349976
capex_pv,0.011040796485209206,0.011040796485209206
opex_pv,2.2725409860760243e-05,2.2725409860760243e-05
capex_pemel,0.5396386001621791,0.5396386001621791
opex_pemel,0.07490784027557418,0.07490784027557418
life_pemel,0.0320220627786037,0.0320220627786037
repl_pemel,1.1102763351975245e-06,1.1102763351975245e-06
capex_dcdc,0.0007842709769812973,0.0007842709769812973
opex_dcdc,0.0024190548423579086,0.0024190548423579086
int_rate,0.20248687581696467,0.20248687581696467
infl_rate,0.058290751838810065,0.058290751838810065
