name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.058523366628526405,0.05950075740603096
u_t_amb,6.183722917176299e-05,0.00026140750616315036
capex_pv,0.14045855306209767,0.1424219299030724
opex_pv,0.0035583570502516013,0.003795154304558689
capex_pemel,0.32348985023528887,0.32709832286581525
opex_pemel,0.05557439646538561,0.0572465533056381
life_pemel,0.011849510521727911,0.01242450302782674
repl_pemel,0.00034386128110003354,0.000728793713154592
capex_dcdc,0.0050372605492628765,0.005269154435366337
opex_dcdc,0.0016844204721716367,0.00238473635267537
int_rate,0.3091965516599355,0.3127161918484639
infl_rate,0.08239774135084506,0.08397678882547
