lcoh,probability density
5.1871646499951805,0.0003402108693981557
5.245844921330908,0.0010206326081944517
5.304525192666637,0.0008505271734953892
5.363205464002366,0.0011907380428935268
5.421885735338094,0.0023814760857870897
5.480566006673822,0.006123795649166803
5.53924627800955,0.005443373910370408
5.597926549345279,0.01020632608194467
5.656606820681008,0.014629067384120472
5.715287092016736,0.015309489122917007
5.7739673633524635,0.02058275759858842
5.8326476346881915,0.0295983456376391
5.89132790602392,0.03589224672150543
5.950008177359648,0.045418151064653786
6.008688448695377,0.05664510975479207
6.067368720031105,0.06361943257745512
6.126048991366833,0.08488261191483985
6.184729262702561,0.09185693473750065
6.24340953403829,0.11158916516259507
6.302089805374019,0.12570791624261662
6.360770076709747,0.1519041531862765
6.4194503480454745,0.17231680535016589
6.4781306193812025,0.1837138694750013
6.536810890716931,0.2044667325082916
6.59549116205266,0.221477275978196
6.654171433388388,0.2357661324929219
6.712851704724116,0.2609417368283854
6.771531976059844,0.28526681399034926
6.830212247395573,0.2987051433315807
6.888892518731302,0.32371064223234025
6.94757279006703,0.3439531889615354
7.006253061402758,0.36691742264591093
7.064933332738486,0.3834176498117156
7.123613604074214,0.40366019654091173
7.182293875409943,0.4012787204551186
7.240974146745671,0.41522736610044897
7.299654418081399,0.421691372619014
7.358334689417127,0.43546991282963926
7.417014960752855,0.4405730758706049
7.475695232088585,0.4460164497809754
7.534375503424313,0.44720718782387564
7.593055774760041,0.4499288747790609
7.651736046095769,0.44822782043207016
7.710416317431497,0.42492337587829
7.769096588767225,0.42628421935588906
7.827776860102954,0.44482571173808183
7.886457131438682,0.43053685522336604
7.94513740277441,0.4109747302329721
8.003817674110138,0.4228821106618947
8.062497945445868,0.39668587371824954
8.121178216781596,0.3951549248059579
8.179858488117324,0.3699793204704943
8.238538759453052,0.36368541938662846
8.29721903078878,0.3317055976632018
8.355899302124508,0.31826726832197466
8.414579573460237,0.3169064248443724
8.473259844795965,0.29615356181109453
8.531940116131693,0.28220491616577015
8.590620387467421,0.25822004987320013
8.64930065880315,0.24257034988087764
8.707980930138879,0.2332145509724357
8.766661201474607,0.2196061161965095
8.825341472810335,0.20854926294106943
8.884021744146063,0.18439429121380038
8.94270201548179,0.17095596187257325
9.00138228681752,0.15343510209856356
9.060062558153248,0.15105362601278113
9.118742829488976,0.13013065754479455
9.177423100824704,0.1206047532016462
9.236103372160432,0.10631589668692043
9.294783643496162,0.09951167929896054
9.35346391483189,0.08930535321701587
9.412144186167618,0.0799495543085666
9.470824457503346,0.07195459887770993
9.529504728839074,0.05868637497118186
9.588185000174802,0.051201735844422426
9.64686527151053,0.045418151064653786
9.70554554284626,0.041165515197175595
9.764225814181987,0.03776340650319528
9.822906085517715,0.03249013802752288
9.881586356853445,0.026536447813056144
9.940266628189173,0.021263179337384728
9.998946899524901,0.01820128151280133
10.057627170860629,0.019051808686296717
10.116307442196357,0.013438329341227151
10.174987713532085,0.014799172818819772
10.233667984867813,0.011397064124838216
10.292348256203542,0.006804217387962908
10.35102852753927,0.006293901083865881
10.409708798874998,0.005103163040972335
10.468389070210726,0.0030618978245833084
10.527069341546456,0.0032320032592824794
10.585749612882184,0.0035722141286806345
10.644429884217912,0.0017010543469907784
10.70311015555364,0.0011907380428935448
10.761790426889368,0.0015309489122917008
10.820470698225096,0.0008505271734953892
10.879150969560826,0.0005103163040972181
10.937831240896553,0.0
10.996511512232281,0.00017010543469907785
