lcoh,cumulative probability
5.1871646499951805,1.9963666127647682e-05
5.245844921330908,7.985466451059073e-05
5.304525192666637,0.00012976382982970994
5.363205464002366,0.00019963666127647682
5.421885735338094,0.00033938232417001055
5.480566006673822,0.0006987283144676688
5.53924627800955,0.0010181469725100316
5.597926549345279,0.001617056956339462
5.656606820681008,0.002475494599828312
5.715287092016736,0.0033738595755724576
5.7739673633524635,0.0045816613762951425
5.8326476346881915,0.006318500329400491
5.89132790602392,0.008424667105867322
5.950008177359648,0.011089816533908288
6.008688448695377,0.014413766944161627
6.067368720031105,0.018146972510031743
6.126048991366833,0.02312790720887984
6.184729262702561,0.028518097063344714
6.24340953403829,0.03506617955321315
6.302089805374019,0.04244275418737897
6.360770076709747,0.05135653111337366
6.4194503480454745,0.061468128007027216
6.4781306193812025,0.07224850771595696
6.536810890716931,0.08424667105867323
6.59549116205266,0.09724301770777187
6.654171433388388,0.11107783833423171
6.712851704724116,0.12638997025413748
6.771531976059844,0.14312950430217006
6.830212247395573,0.16065760316224473
6.888892518731302,0.1796530314827015
6.94757279006703,0.19983629793775332
7.006253061402758,0.22136711185642133
7.064933332738486,0.24386616358228025
7.123613604074214,0.2675530534427342
7.182293875409943,0.29110019764029466
7.240974146745671,0.3154658521490886
7.299654418081399,0.34021081631430794
7.358334689417127,0.36576430895769696
7.417014960752855,0.39161725659300073
7.475695232088585,0.41778962288634686
7.534375503424313,0.44403186201113976
7.593055774760041,0.4704338104649538
7.651736046095769,0.49673594058812964
7.710416317431497,0.5216705595815616
7.769096588767225,0.5466850332395041
7.827776860102954,0.5727875267014034
7.886457131438682,0.5980515461859416
7.94513740277441,0.62216765486814
8.003817674110138,0.646982491864806
8.062497945445868,0.6702601265696433
8.121178216781596,0.6934479247769061
8.179858488117324,0.7151584116907229
8.238538759453052,0.7364995707811783
8.29721903078878,0.7559641452556348
8.355899302124508,0.7746401549180493
8.414579573460237,0.7932363099159531
8.473259844795965,0.8106146812800704
8.531940116131693,0.8271745423329542
8.590620387467421,0.8423269649238387
8.64930065880315,0.8565610588728515
8.707980930138879,0.870246152003354
8.766661201474607,0.8831326984887505
8.825341472810335,0.8953704258249986
8.884021744146063,0.9061907328661837
8.94270201548179,0.9162224750953266
9.00138228681752,0.9252260885188958
9.060062558153248,0.9340899562795714
9.118742829488976,0.9417260585733966
9.177423100824704,0.9488031782156477
9.236103372160432,0.9550418238805376
9.294783643496162,0.9608811962228746
9.35346391483189,0.9661216585813821
9.412144186167618,0.9708131201213793
9.470824457503346,0.9750354355073768
9.529504728839074,0.978479167914396
9.588185000174802,0.981483699666607
9.64686527151053,0.984148849094648
9.70554554284626,0.9865644526960933
9.764225814181987,0.9887804196362622
9.822906085517715,0.9906869497514526
9.881586356853445,0.9922441157094091
9.940266628189173,0.9934918448423871
9.998946899524901,0.9945599009802162
10.057627170860629,0.9956778662833644
10.116307442196357,0.9964664310954064
10.174987713532085,0.9973348505719591
10.233667984867813,0.9980036333872353
10.292348256203542,0.9984029067097883
10.35102852753927,0.9987722345331498
10.409708798874998,0.9990716895250645
10.468389070210726,0.9992513625202134
10.527069341546456,0.999441017348426
10.585749612882184,0.9996506358427664
10.644429884217912,0.9997504541734046
10.70311015555364,0.9998203270048514
10.761790426889368,0.9999101635024258
10.820470698225096,0.9999600726677449
10.879150969560826,0.9999900181669363
10.937831240896553,0.9999900181669363
10.996511512232281,1.0000000000000002
