sol_irr,T_amb,wind_pow
0.209,1.1,0.325
0.394,2.2,0.253
0.494,2.8,0.23
0.552,2.8,0.267
0.552,3.3,0.27
0.463,2.8,0.259
0.374,3.3,0.228
0.202,2.2,0.205
0.049,0.6,0.243
0,0.6,0.261
0,0,0.233
0,0.6,0.211
0,0.6,0.184
0,0.6,0.163
0,1.1,0.156
0,1.1,0.168
0,1.7,0.169
0,1.1,0.148
0,1.1,0.102
0,0.6,0.06
0,0,0.04
0,0.6,0.029
0.016,1.1,0.022
0.142,2.2,0.02
0.332,3.9,0.033
0.476,5.6,0.057
0.557,6.7,0.088
0.59,7.8,0.126
0.611,7.8,0.179
0.551,7.8,0.235
0.391,7.8,0.291
0.218,6.7,0.398
0.069,5.6,0.506
0.001,5,0.506
0,3.9,0.414
0,3.3,0.312
0,2.2,0.269
0,1.7,0.264
0,1.7,0.267
0,1.1,0.278
0,1.1,0.303
0,0.6,0.337
0,1.1,0.379
0,1.1,0.417
0,0.6,0.445
0,0.6,0.46
0.027,0,0.442
0.209,2.2,0.395
0.423,4.4,0.372
0.588,7.2,0.32
0.69,8.3,0.251
0.735,9.4,0.198
0.722,10.6,0.151
0.639,11.1,0.148
0.542,11.7,0.219
0.316,10,0.34
0.111,7.8,0.479
0.003,4.4,0.523
0,4.4,0.467
0,3.3,0.42
0,2.2,0.44
0,2.2,0.474
0,1.7,0.481
0,2.2,0.484
0,2.2,0.505
0,2.2,0.501
0,2.8,0.501
0,3.3,0.489
0,3.9,0.464
0,4.4,0.457
0.031,5.6,0.433
0.226,6.1,0.432
0.483,6.1,0.44
0.674,6.7,0.465
0.766,7.2,0.51
0.795,7.2,0.533
0.781,6.7,0.533
0.719,7.2,0.544
0.602,7.2,0.58
0.419,7.2,0.63
0.18,6.1,0.663
0.005,6.1,0.615
0,5.6,0.596
0,5.6,0.621
0,3.9,0.65
0,3.9,0.65
0,3.9,0.646
0,3.3,0.659
0,2.2,0.666
0,1.1,0.693
0,0.6,0.727
0,-1.1,0.762
0,-2.8,0.78
0,-2.8,0.795
0.009,-1.7,0.765
0.083,0,0.818
0.257,2.2,0.841
0.403,5.6,0.843
0.482,6.1,0.859
0.474,6.7,0.88
0.404,7.2,0.901
0.348,8.9,0.917
0.235,8.9,0.928
0.128,7.8,0.931
0.044,7.2,0.923
0,6.1,0.88
0,5.6,0.834
0,4.4,0.822
0,4.4,0.813
0,3.3,0.815
0,3.9,0.823
0,2.8,0.826
0,3.9,0.816
0,3.9,0.815
0,2.8,0.827
0,2.8,0.841
0,2.8,0.853
0,2.8,0.856
0.018,2.8,0.852
0.149,2.8,0.887
0.404,3.9,0.881
0.597,5,0.86
0.71,7.2,0.837
0.748,7.8,0.812
0.738,7.8,0.8
0.673,8.3,0.809
0.557,7.8,0.831
0.372,7.8,0.852
0.147,6.7,0.856
0.004,7.2,0.808
0,7.8,0.78
0,7.8,0.768
0,6.4,0.783
0,5.1,0.791
0,3.7,0.787
0,2.4,0.777
0,1,0.755
0,-0.2,0.737
0,-1.7,0.723
0,-1.7,0.713
0,-1.7,0.708
0,-1.1,0.688
0.04,0,0.631
0.268,2.2,0.624
0.498,3.3,0.605
0.653,3.9,0.55
0.743,3.3,0.494
0.777,5,0.449
0.762,5.6,0.447
0.694,5.6,0.491
0.573,5.6,0.556
0.392,5,0.643
0.164,3.9,0.722
0.006,3.3,0.682
0,3.3,0.583
0,2.8,0.528
0,1.7,0.519
0,1.7,0.527
0,1.1,0.566
0,0,0.613
0,-1.1,0.637
0,0,0.624
0,0,0.579
0,0.6,0.516
0,0,0.465
0,0,0.43
0.06,0.6,0.388
0.302,1.1,0.385
0.513,3.9,0.374
0.665,4.4,0.311
0.758,1.1,0.242
0.803,2.2,0.209
0.791,3.9,0.247
0.729,2.2,0.341
0.615,3.9,0.421
0.438,3.3,0.476
0.206,2.2,0.521
0.01,0,0.529
0,-0.6,0.512
0,-0.6,0.531
0,-2.8,0.559
0,-1.1,0.58
0,-3.9,0.597
0,-2.8,0.628
0,-4.4,0.606
0,-2.8,0.58
0,-4.4,0.548
0,-3.3,0.552
0,-3.9,0.605
0,-5,0.614
0.04,-4,0.584
0.222,-2,0.633
0.524,-0.6,0.572
0.696,1.1,0.384
0.79,5,0.309
0.823,6.1,0.373
0.81,6.1,0.444
0.747,7.2,0.474
0.63,7.2,0.536
0.45,6.1,0.628
0.213,4.4,0.666
0.01,2.2,0.584
0,0,0.481
0,-2.8,0.502
0,-2.8,0.523
0,-2.8,0.549
0,-3.9,0.583
0,-3.9,0.606
0,-3.9,0.661
0,-5,0.657
0,-5,0.652
0,-4.4,0.689
0,-5,0.652
0,-3.9,0.668
0.032,-2.2,0.68
0.138,0.6,0.806
0.367,1.7,0.88
0.546,5,0.88
0.786,7.2,0.876
0.833,8.9,0.877
0.821,9.4,0.882
0.754,8.9,0.89
0.628,8.3,0.905
0.446,7.8,0.921
0.207,7.2,0.915
0.011,6.1,0.878
0,6.1,0.857
0,5.6,0.877
0,5,0.899
0,5,0.921
0,5.6,0.933
0,5,0.935
0,5,0.934
0,2.8,0.938
0,1.7,0.94
0,2.2,0.943
0,1.7,0.948
0,2.2,0.954
0.026,3.9,0.954
0.238,5.6,0.963
0.528,7.8,0.962
0.685,8.9,0.956
0.781,11.1,0.952
0.81,12.8,0.952
0.806,14.4,0.955
0.745,15,0.957
0.623,15,0.951
0.443,13.9,0.938
0.206,11.7,0.916
0.012,8.3,0.859
0,6.7,0.794
0,4.4,0.739
0,3.3,0.703
0,1.7,0.715
0,1.7,0.756
0,-0.6,0.812
0,-0.6,0.815
0,-1.7,0.789
0,-2.2,0.768
0,-2.2,0.739
0,-2.8,0.719
0,-2.8,0.695
0.046,-1.1,0.63
0.203,4.4,0.711
0.37,7.2,0.806
0.535,10,0.834
0.631,11.7,0.854
0.783,12.8,0.864
0.738,17.2,0.876
0.717,17.2,0.88
0.627,17.2,0.872
0.446,16.7,0.862
0.212,13.9,0.837
0.013,11.1,0.739
0,9.4,0.618
0,7.8,0.561
0,6.7,0.569
0,3.9,0.62
0,3.9,0.651
0,1.1,0.665
0,2.2,0.655
0,1.7,0.649
0,-0.6,0.647
0,0.6,0.648
0,-1.1,0.649
0,-0.6,0.631
0.042,1.1,0.583
0.201,6.1,0.623
0.449,11.1,0.613
0.685,13.3,0.578
0.802,16.1,0.538
0.836,17.8,0.51
0.826,20,0.485
0.762,20.6,0.467
0.644,20,0.461
0.464,18.9,0.455
0.228,15.6,0.445
0.017,13.9,0.425
0,12.8,0.408
0,13.3,0.393
0,11.1,0.385
0,10,0.395
0,9.4,0.413
0,8.9,0.441
0,8.9,0.487
0,8.3,0.527
0,7.8,0.54
0,7.8,0.547
0,4.4,0.558
0,6.7,0.561
0.067,7.2,0.523
0.293,8.3,0.512
0.535,8.9,0.461
0.714,9.4,0.4
0.806,10,0.367
0.843,10.6,0.358
0.83,12.2,0.364
0.766,11.1,0.368
0.648,10.6,0.369
0.47,10.6,0.367
0.236,8.3,0.38
0.02,6.1,0.396
0,5.6,0.41
0,6.1,0.398
0,5.6,0.395
0,5.6,0.391
0,5.6,0.381
0,5.6,0.377
0,5.6,0.379
0,5.6,0.381
0,5,0.382
0,5,0.394
0,5,0.394
0,5,0.399
0.062,5.6,0.37
0.263,7.2,0.337
0.521,8.3,0.289
0.67,8.9,0.228
0.768,10.6,0.168
0.812,11.1,0.104
0.801,11.1,0.08
0.736,11.1,0.096
0.619,11.7,0.146
0.445,11.1,0.205
0.225,8.9,0.265
0.019,5.6,0.422
0,5,0.522
0,5,0.521
0,5,0.504
0,3.3,0.481
0,3.9,0.469
0,5,0.492
0,5,0.483
0,4.4,0.457
0,3.3,0.4
0,2.8,0.352
0,1.7,0.323
0,-0.6,0.292
0.091,2.8,0.261
0.327,5,0.229
0.558,5.6,0.175
0.708,6.1,0.131
0.799,7.2,0.106
0.827,7.8,0.076
0.813,8.9,0.039
0.747,10,0.019
0.622,10.6,0.044
0.444,9.4,0.135
0.215,8.9,0.277
0.017,7.8,0.487
0,7.8,0.525
0,6.1,0.466
0,2.8,0.415
0,2.2,0.385
0,1.1,0.362
0,-1.1,0.35
0,-0.6,0.361
0,-1.1,0.367
0,-1.7,0.343
0,-1.7,0.29
0,-1.7,0.26
0,-1.7,0.236
0.066,0,0.206
0.276,2.2,0.153
0.564,6.1,0.106
0.714,8.9,0.1
0.803,9.4,0.169
0.839,10.6,0.288
0.826,11.1,0.3
0.762,11.7,0.283
0.647,11.7,0.323
0.471,11.1,0.22
0.243,10.6,0.188
0.024,9.4,0.322
0,7.8,0.372
0,7.2,0.322
0,7.2,0.358
0,7.8,0.341
0,7.2,0.291
0,7.2,0.248
0,7.2,0.231
0,7.2,0.237
0,6.7,0.245
0,6.7,0.267
0,6.1,0.3
0,6.1,0.334
0.064,6.7,0.33
0.256,6.7,0.352
0.495,7.2,0.311
0.662,8.3,0.253
0.767,9.4,0.261
0.813,9.4,0.307
0.802,11.1,0.362
0.74,10.6,0.404
0.624,10.6,0.447
0.452,10,0.488
0.227,8.9,0.508
0.022,8.3,0.489
0,8.3,0.444
0,7.8,0.413
0,7.8,0.378
0,6.7,0.368
0,6.7,0.394
0,7.2,0.443
0,7.2,0.503
0,7.8,0.559
0,7.2,0.568
0,7.2,0.546
0,7.8,0.49
0,7.2,0.432
0.089,7.8,0.361
0.312,8.3,0.356
0.543,8.3,0.367
0.693,8.3,0.392
0.785,10,0.429
0.822,7.2,0.479
0.81,8.9,0.524
0.746,7.2,0.545
0.631,8.3,0.55
0.457,6.7,0.567
0.23,6.7,0.576
0.023,6.1,0.501
0,6.1,0.379
0,6.1,0.311
0,5.6,0.25
0,3.3,0.231
0,1.7,0.31
0,0,0.476
0,0,0.569
0,0,0.581
0,-0.6,0.522
0,-0.6,0.474
0,-2.2,0.414
0,0,0.386
0.085,3.3,0.414
0.313,5.6,0.61
0.477,7.8,0.789
0.487,8.3,0.865
0.516,8.9,0.891
0.58,8.9,0.909
0.591,8.9,0.914
0.579,10,0.911
0.422,10.6,0.895
0.246,9.4,0.862
0.103,8.9,0.816
0.006,5,0.755
0,3.9,0.678
0,3.3,0.618
0,3.3,0.585
0,2.8,0.562
0,2.8,0.568
0,3.3,0.601
0,4.4,0.644
0,4.4,0.628
0,4.4,0.61
0,4.4,0.618
0,4.4,0.656
0,4.4,0.712
0.04,5,0.728
0.153,5.9,0.804
0.231,6.6,0.872
0.255,7.2,0.872
0.538,7.6,0.875
0.63,7.8,0.879
0.664,7.8,0.874
0.658,8.9,0.88
0.563,9.4,0.889
0.41,8.9,0.887
0.203,7.8,0.873
0.018,6.1,0.8
0,5.6,0.746
0,3.9,0.736
0,3.9,0.792
0,4.4,0.793
0,4.4,0.798
0,2.2,0.794
0,2.2,0.788
0,1.7,0.775
0,1.1,0.744
0,0.6,0.722
0,1.7,0.736
0,2.2,0.751
0.044,2.8,0.733
0.217,2.8,0.796
0.482,5,0.825
0.633,6.1,0.831
0.726,6.1,0.832
0.784,6.1,0.826
0.77,5.6,0.825
0.702,5.6,0.831
0.563,5.6,0.839
0.373,6.1,0.841
0.139,5,0.829
0.011,5,0.729
0,4.4,0.623
0,5,0.615
0,5,0.604
0,4.4,0.619
0,4.4,0.633
0,4.4,0.672
0,3.9,0.7
0,3.3,0.741
0,3.3,0.739
0,3.9,0.74
0,3.9,0.741
0,3.9,0.704
0.016,4.4,0.672
0.085,5.6,0.727
0.197,6.7,0.806
0.358,7.8,0.792
0.481,8.3,0.751
0.582,8.9,0.723
0.593,8.9,0.708
0.53,9.4,0.7
0.393,9.4,0.695
0.25,10,0.698
0.107,10,0.697
0.01,8.9,0.648
0,8.9,0.621
0,8.3,0.61
0,8.3,0.605
0,8.3,0.578
0,8.3,0.527
0,7.8,0.489
0,8.9,0.474
0,8.3,0.471
0,8.9,0.444
0,9.4,0.42
0,9.4,0.414
0,10,0.429
0.038,10,0.424
0.176,10.6,0.518
0.424,10.6,0.516
0.615,11.7,0.48
0.727,12.2,0.466
0.769,11.7,0.451
0.755,11.7,0.419
0.686,11.7,0.39
0.579,12.2,0.376
0.402,12.2,0.383
0.187,10.6,0.415
0.019,10.6,0.42
0,10.6,0.395
0,8.9,0.386
0,8.3,0.391
0,6.7,0.404
0,6.7,0.42
0,5.6,0.427
0,5,0.434
0,2.8,0.432
0,2.8,0.422
0,3.9,0.389
0,3.3,0.342
0,3.3,0.286
0.042,5,0.22
0.176,6.7,0.173
0.292,7.2,0.142
0.364,8.3,0.129
0.467,7.8,0.111
0.594,8.3,0.079
0.644,8.9,0.028
0.549,10,0.029
0.374,11.1,0.108
0.211,10.6,0.234
0.086,8.9,0.344
0.008,6.1,0.374
0,3.9,0.333
0,3.9,0.294
0,1.1,0.289
0,0,0.305
0,1.1,0.325
0,-0.6,0.337
0,-0.6,0.346
0,-1.1,0.352
0,0.6,0.38
0,-2.2,0.41
0,-1.7,0.441
0,-1.7,0.47
0.062,0.6,0.463
0.255,3.9,0.506
0.488,7.2,0.469
0.676,9.4,0.413
0.775,10,0.364
0.817,11.7,0.32
0.808,12.8,0.283
0.746,13.3,0.266
0.638,13.3,0.304
0.466,12.8,0.376
0.243,11.1,0.447
0.032,7.2,0.488
0,4.4,0.469
0,2.2,0.457
0,2.2,0.463
0,0.6,0.474
0,2.8,0.485
0,0.6,0.488
0,-1.1,0.487
0,-2.2,0.475
0,-2.2,0.457
0,-2.2,0.434
0,-2.2,0.414
0,-2.2,0.395
0.111,1.1,0.336
0.351,6.1,0.354
0.557,7.8,0.343
0.705,8.9,0.341
0.795,10,0.341
0.83,11.1,0.334
0.801,11.7,0.334
0.715,12.2,0.344
0.58,11.7,0.373
0.451,11.7,0.398
0.24,10.6,0.424
0.03,8.3,0.445
0,6.7,0.433
0,4.4,0.423
0,5,0.422
0,0.6,0.421
0,0,0.432
0,-1.1,0.454
0,-1.7,0.482
0,-2.8,0.466
0,-2.8,0.447
0,-4.4,0.41
0,-3.9,0.367
0,-2.8,0.319
0.075,1.7,0.284
0.313,5.6,0.298
0.554,7.2,0.308
0.7,9.4,0.328
0.789,11.1,0.344
0.828,11.7,0.367
0.816,12.8,0.395
0.753,13.9,0.422
0.635,14.4,0.436
0.463,13.9,0.441
0.242,12.8,0.457
0.033,10.6,0.466
0,7.8,0.442
0,7.2,0.386
0,6.7,0.315
0,2.2,0.316
0,2.2,0.376
0,0.6,0.436
0,0.6,0.461
0,-1.1,0.497
0,0,0.487
0,-1.1,0.445
0,-1.7,0.422
0,0,0.428
0.074,3.3,0.414
0.282,6.7,0.466
0.52,9.4,0.447
0.672,11.1,0.437
0.762,13.3,0.448
0.797,14.4,0.497
0.725,15.9,0.566
0.697,17.2,0.637
0.509,17.2,0.699
0.357,17.8,0.732
0.205,16.1,0.724
0.028,12.8,0.669
0,8.9,0.55
0,7.8,0.495
0,5.6,0.466
0,4.4,0.435
0,3.3,0.422
0,3.9,0.431
0,1.7,0.465
0,2.2,0.519
0,2.2,0.559
0,3.3,0.58
0,3.9,0.557
0,4.4,0.59
0.102,5.6,0.586
0.335,8.9,0.684
0.537,11.1,0.733
0.683,12.8,0.74
0.775,15,0.752
0.81,16.1,0.759
0.8,16.7,0.753
0.743,16.7,0.744
0.639,17.2,0.751
0.466,14.4,0.762
0.243,12.2,0.752
0.034,11.1,0.674
0,10.6,0.553
0,10.6,0.53
0,7.8,0.548
0,8.9,0.566
0,8.9,0.571
0,8.9,0.593
0,8.9,0.625
0,10,0.647
0,9.4,0.607
0,9.4,0.552
0,8.9,0.523
0,9.4,0.483
0.102,10,0.398
0.323,10,0.456
0.52,10.6,0.442
0.661,12.2,0.391
0.732,12.2,0.334
0.77,12.2,0.297
0.774,10,0.291
0.707,11.7,0.31
0.591,10,0.331
0.437,9.4,0.339
0.226,9.4,0.334
0.031,7.2,0.308
0,7.2,0.268
0,6.1,0.223
0,6.1,0.18
0,6.7,0.15
0,5.6,0.124
0,3.9,0.104
0,5.6,0.088
0,4.4,0.071
0,4.4,0.053
0,5,0.041
0,4.4,0.03
0,3.9,0.026
0.085,4.4,0.026
0.285,5.6,0.029
0.54,7.2,0.018
0.69,8.9,0.006
0.79,10,0.001
0.827,9.4,0.001
0.814,10.6,0
0.749,10.6,0.001
0.635,11.1,0.001
0.467,10,0.001
0.25,8.9,0.001
0.039,7.2,0.034
0,5,0.101
0,3.9,0.114
0,4.4,0.112
0,2.2,0.134
0,3.3,0.196
0,2.2,0.283
0,2.2,0.379
0,2.2,0.471
0,3.9,0.593
0,2.8,0.693
0,2.2,0.724
0,2.8,0.733
0.11,3.9,0.661
0.29,4.4,0.528
0.392,5,0.597
0.499,5,0.61
0.601,5,0.638
0.679,5,0.676
0.694,4.4,0.716
0.672,5,0.735
0.594,6.1,0.739
0.412,6.7,0.758
0.193,7.2,0.773
0.026,7.2,0.763
0,7.8,0.713
0,7.8,0.563
0,8.3,0.422
0,8.3,0.337
0,8.3,0.283
0,8.3,0.25
0,8.3,0.241
0,7.8,0.259
0,7.2,0.283
0,6.1,0.329
0,6.1,0.4
0,6.7,0.459
0.109,7.2,0.419
0.337,7.8,0.381
0.536,8.9,0.42
0.677,8.9,0.47
0.764,8.9,0.525
0.8,8.9,0.558
0.78,9.4,0.596
0.715,9.4,0.635
0.601,8.9,0.664
0.425,8.9,0.699
0.211,8.3,0.725
0.028,6.7,0.68
0,5.6,0.574
0,4.4,0.438
0,2.2,0.394
0,0.6,0.434
0,1.1,0.499
0,0.6,0.55
0,-0.6,0.578
0,-1.7,0.577
0,-1.7,0.565
0,-0.6,0.556
0,0,0.547
0,0.6,0.535
0.104,2.8,0.442
0.317,5,0.452
0.511,7.8,0.429
0.65,8.9,0.41
0.717,8.9,0.437
0.711,8.9,0.489
0.682,8.9,0.548
0.622,8.3,0.571
0.579,7.8,0.571
0.44,7.8,0.556
0.239,7.2,0.523
0.038,7.2,0.476
0,6.7,0.392
0,6.7,0.358
0,6.7,0.362
0,7.2,0.376
0,6.7,0.374
0,6.7,0.365
0,6.1,0.425
0,5.6,0.505
0,4.4,0.522
0,3.9,0.53
0,2.8,0.519
0,4.4,0.505
0.076,5.6,0.494
0.306,6.7,0.577
0.51,8.3,0.581
0.663,8.3,0.59
0.759,10,0.615
0.796,10,0.658
0.792,11.1,0.711
0.732,11.7,0.755
0.615,12.2,0.772
0.444,12.2,0.761
0.23,11.7,0.735
0.036,10,0.686
0,9.4,0.603
0,8.9,0.58
0,8.4,0.578
0,8.1,0.583
0,8,0.613
0,8.3,0.644
0,8,0.682
0,7.9,0.715
0,7.8,0.729
0,7.8,0.722
0,8.3,0.702
0,8.9,0.68
0.071,8.9,0.661
0.241,9.4,0.683
0.456,10,0.657
0.668,10,0.66
0.773,10.6,0.675
0.81,12.2,0.695
0.802,12.2,0.715
0.742,11.7,0.733
0.628,10.6,0.737
0.457,10,0.726
0.24,7.8,0.703
0.039,6.7,0.653
0,5.6,0.544
0,5.6,0.498
0,5.5,0.526
0,5.4,0.557
0,5.3,0.574
0,5.3,0.574
0,5.2,0.568
0,5.1,0.557
0,5,0.562
0,3.3,0.56
0,2.8,0.547
0,5,0.519
0.072,8.3,0.509
0.275,8.9,0.509
0.516,11.1,0.462
0.678,12.2,0.434
0.78,11.7,0.42
0.823,12.8,0.414
0.814,12.8,0.425
0.752,13.9,0.451
0.637,15,0.484
0.467,13.9,0.51
0.25,10,0.51
0.042,8.3,0.478
0,7.8,0.42
0,4.4,0.388
0,5.6,0.37
0,5.6,0.358
0,5.6,0.344
0,5.6,0.319
0,5.6,0.272
0,5.6,0.245
0,5.6,0.251
0,6.7,0.254
0,6.7,0.238
0,6.7,0.219
0.06,7.8,0.197
0.251,9.4,0.194
0.471,11.7,0.156
0.68,13.3,0.111
0.779,13.9,0.093
0.814,13.9,0.105
0.799,15,0.136
0.734,15.6,0.174
0.616,15,0.217
0.442,15,0.211
0.235,13.9,0.16
0.041,12.2,0.181
0,11.7,0.333
0,10.6,0.364
0,10,0.285
0,8.3,0.18
0,7.2,0.108
0,5.6,0.073
0,3.9,0.057
0,3.3,0.046
0,4.4,0.049
0,2.2,0.044
0,1.7,0.043
0,3.3,0.048
0.1,9.4,0.062
0.306,11.1,0.096
0.509,13.9,0.149
0.597,17.2,0.188
0.756,18.9,0.251
0.803,20.6,0.325
0.77,21.7,0.402
0.704,22.8,0.472
0.546,21.7,0.521
0.373,20,0.544
0.19,17.8,0.547
0.033,15,0.537
0,12.2,0.457
0,7.8,0.395
0,6.7,0.468
0,6.7,0.604
0,7.2,0.661
0,8.3,0.711
0,7.8,0.768
0,7.2,0.787
0,6.7,0.863
0,6.7,0.883
0,7.2,0.868
0,7.2,0.816
0.102,7.8,0.711
0.317,8.3,0.732
0.511,10,0.704
0.652,10,0.67
0.711,12.8,0.661
0.729,13.9,0.654
0.64,13.3,0.644
0.576,13.9,0.634
0.531,13.9,0.61
0.409,12.8,0.604
0.18,11.7,0.611
0.041,8.9,0.574
0,6.7,0.484
0,4.4,0.467
0,3.9,0.513
0,3.3,0.541
0,2.2,0.547
0,1.1,0.538
0,0,0.524
0,0,0.508
0,-1.1,0.491
0,-0.6,0.481
0,-1.7,0.467
0,0,0.443
0.118,2.2,0.389
0.346,5,0.404
0.543,9.4,0.405
0.691,11.1,0.418
0.787,10.6,0.439
0.826,11.1,0.466
0.816,12.2,0.494
0.755,11.7,0.516
0.64,11.7,0.521
0.471,10,0.517
0.254,9.4,0.508
0.045,8.3,0.486
0,7.2,0.451
0,6.7,0.427
0,6.7,0.422
0,5,0.425
0,3.3,0.43
0,2.8,0.444
0,3.3,0.471
0,2.8,0.505
0,3.9,0.521
0,3.9,0.519
0,5.6,0.523
0.001,6.1,0.516
0.118,7.2,0.48
0.341,8.9,0.498
0.538,10,0.493
0.689,11.7,0.494
0.784,11.7,0.502
0.817,13.3,0.505
0.805,15,0.514
0.747,13.9,0.531
0.637,13.9,0.559
0.468,12.8,0.574
0.254,10.6,0.573
0.046,10,0.552
0,10,0.51
0,9.4,0.51
0,8.9,0.527
0,8.9,0.547
0,8.9,0.572
0,8.9,0.595
0,8.3,0.602
0,8.3,0.61
0,8.3,0.62
0,8.3,0.624
0,7.2,0.626
0.001,9.4,0.64
0.102,10.6,0.626
0.317,11.1,0.666
0.529,8.9,0.633
0.686,10.6,0.605
0.781,12.2,0.586
0.82,11.7,0.576
0.81,11.7,0.576
0.749,10,0.584
0.636,9.4,0.594
0.469,8.9,0.601
0.255,8.9,0.602
0.047,7.8,0.592
0,7.8,0.545
0,6.7,0.526
0,5.6,0.568
0,5.6,0.588
0,5,0.583
0,5,0.583
0,5,0.581
0,5,0.576
0,5,0.585
0,5.6,0.604
0,5.6,0.615
0.001,6.1,0.599
0.099,7.2,0.591
0.288,7.8,0.623
0.47,8.3,0.574
0.644,8.3,0.505
0.768,9.4,0.447
0.803,9.4,0.393
0.79,9.4,0.345
0.726,8.9,0.334
0.612,6.7,0.368
0.445,6.7,0.444
0.236,7.2,0.545
0.044,6.7,0.619
0,6.7,0.605
0,4.4,0.601
0,4.4,0.611
0,3.9,0.603
0,2.8,0.578
0,2.2,0.56
0,2.2,0.557
0,1.7,0.556
0,2.8,0.552
0,2.8,0.519
0,2.8,0.484
0.001,4.4,0.431
0.107,7.2,0.347
0.332,8.9,0.302
0.53,10.6,0.245
0.674,11.1,0.22
0.761,12.2,0.183
0.795,11.7,0.12
0.78,12.8,0.026
0.717,12.8,0.006
0.604,10.6,0.028
0.44,11.7,0.113
0.235,10.6,0.238
0.044,8.3,0.352
0,7.2,0.367
0,3.3,0.325
0,3.3,0.327
0,1.1,0.346
0,1.1,0.353
0,1.1,0.329
0,1.1,0.277
0,1.1,0.218
0,1.1,0.167
0,1.7,0.126
0,1.7,0.1
0.001,2.2,0.082
0.112,5,0.063
0.327,5.6,0.053
0.525,6.7,0.055
0.669,8.3,0.058
0.757,8.3,0.034
0.799,8.3,0.005
0.784,8.3,0.002
0.722,7.8,0.012
0.611,7.8,0.046
0.448,7.2,0.144
0.243,7.2,0.245
0.046,6.7,0.388
0,7.2,0.435
0,6.7,0.388
0,6.7,0.342
0,6.7,0.308
0,5,0.285
0,3.3,0.271
0,2.8,0.274
0,2.2,0.305
0,1.7,0.32
0,1.7,0.296
0,0.6,0.264
0.002,1.7,0.228
0.108,4.4,0.179
0.344,6.7,0.144
0.542,8.3,0.124
0.684,10.6,0.153
0.768,10,0.233
0.793,11.7,0.272
0.79,12.8,0.266
0.731,13.3,0.24
0.619,12.8,0.201
0.452,12.8,0.206
0.241,11.7,0.305
0.048,10,0.42
0,8.9,0.386
0,7.8,0.353
0,7.8,0.347
0,6.7,0.312
0,5,0.282
0,5,0.301
0,5,0.362
0,5,0.416
0,5.6,0.442
0,5.6,0.418
0,5,0.391
0.002,5,0.382
0.111,5.6,0.386
0.329,6.7,0.422
0.529,6.7,0.448
0.677,7.8,0.494
0.766,7.8,0.519
0.804,7.2,0.519
0.794,7.8,0.508
0.734,7.8,0.555
0.622,7.8,0.629
0.457,7.8,0.674
0.245,7.8,0.669
0.047,7.8,0.622
0,7.8,0.508
0,7.2,0.454
0,7.2,0.486
0,7.8,0.541
0,6.7,0.625
0,6.7,0.672
0,6.1,0.686
0,5,0.685
0,5,0.653
0,4.4,0.633
0,5,0.637
0.002,5.6,0.663
0.09,7.8,0.727
0.319,7.2,0.788
0.512,8.3,0.786
0.649,10,0.758
0.74,7.8,0.737
0.791,10,0.718
0.787,8.3,0.711
0.725,10.6,0.727
0.617,10,0.748
0.455,8.9,0.762
0.247,7.8,0.78
0.049,6.7,0.778
0,6.1,0.697
0,4.4,0.655
0,3.3,0.746
0,2.8,0.797
0,2.8,0.814
0,2.8,0.825
0,2.2,0.836
0,2.2,0.857
0,2.2,0.881
0,2.2,0.898
0,2.2,0.905
0.002,4.4,0.899
0.093,5,0.911
0.331,7.2,0.917
0.534,8.3,0.903
0.678,5.6,0.878
0.767,9.4,0.839
0.805,7.8,0.799
0.792,7.2,0.778
0.731,8.3,0.783
0.619,8.9,0.802
0.455,7.8,0.824
0.248,7.8,0.843
0.049,5.6,0.843
0,4.4,0.79
0,4.4,0.772
0,4.4,0.762
0,4.4,0.748
0,4.4,0.697
0,4.4,0.686
0,3.9,0.69
0,3.9,0.693
0,3.9,0.676
0,3.3,0.651
0,2.8,0.613
0.003,4.4,0.558
0.116,6.7,0.472
0.338,7.8,0.413
0.542,10,0.323
0.683,11.1,0.238
0.768,12.2,0.157
0.795,13.3,0.079
0.777,14.4,0.008
0.711,15,0.003
0.597,14.4,0.014
0.435,14.4,0.105
0.233,13.3,0.231
0.047,11.7,0.354
0,10,0.362
0,7.8,0.298
0,5.6,0.264
0,3.3,0.237
0,1.7,0.212
0,1.1,0.199
0,0.6,0.192
0,0,0.179
0,-1.1,0.165
0,-0.6,0.184
0,-1.1,0.246
0.003,2.2,0.347
0.109,7.2,0.388
0.308,9.4,0.297
0.494,12.2,0.274
0.625,13.3,0.35
0.702,15,0.358
0.733,16.7,0.267
0.716,16.7,0.163
0.654,18.3,0.084
0.543,17.8,0.035
0.387,17.2,0.017
0.201,16.1,0.031
0.043,11.7,0.152
0,10.6,0.28
0,8.9,0.388
0,7.2,0.5
0,6.7,0.593
0,6.7,0.663
0,6.7,0.734
0,6.7,0.782
0,7.2,0.798
0,6.1,0.812
0,6.7,0.822
0,6.7,0.823
0.003,7.8,0.82
0.097,7.8,0.773
0.269,7.8,0.683
0.437,8.9,0.62
0.565,10,0.605
0.644,9.4,0.42
0.681,10,0.214
0.667,8.9,0.091
0.605,8.9,0.052
0.494,9.4,0.079
0.342,10,0.14
0.174,9.4,0.294
0.039,7.2,0.515
0,5.6,0.607
0,5.6,0.624
0,4.4,0.618
0,4.4,0.586
0,4.4,0.545
0,3.9,0.512
0,3.9,0.479
