sol_irr,T_amb,wind_pow
0,0.6,0.344
0.005,1.1,0.432
0.276,1.7,0.447
0.506,2.2,0.329
0.655,2.8,0.316
0.738,3.3,0.309
0.775,3.9,0.227
0.759,3.9,0.156
0.691,3.9,0.106
0.573,3.9,0.084
0.382,3.7,0.073
0.116,3.5,0.071
0,3.3,0.112
0,3.5,0.232
0,3.7,0.425
0,3.9,0.613
0,4.3,0.725
0,4.6,0.768
0,5,0.778
0,6.7,0.781
0,8.3,0.779
0,10,0.788
0,9.6,0.799
0,9.3,0.812
0,8.9,0.824
0.002,9.1,0.832
0.187,9.2,0.813
0.427,9.4,0.763
0.591,9.4,0.75
0.683,9.4,0.788
0.711,9.4,0.754
0.678,9.2,0.677
0.594,9.1,0.601
0.519,8.9,0.555
0.314,8.7,0.523
0.07,8.5,0.541
0,8.3,0.658
0,8.9,0.768
0,9.4,0.819
0,10,0.827
0,10.4,0.826
0,10.7,0.811
0,11.1,0.804
0,11.1,0.772
0,11.1,0.746
0,11.1,0.763
0,10.9,0.785
0,10.8,0.799
0,10.6,0.807
0.002,11,0.81
0.183,11.3,0.785
0.408,11.7,0.873
0.566,11.9,0.917
0.657,12,0.896
0.675,12.2,0.849
0.638,12,0.785
0.555,11.9,0.713
0.387,11.7,0.65
0.188,11.7,0.581
0.037,11.7,0.544
0,11.7,0.622
0,11.9,0.718
0,12,0.765
0,12.2,0.75
0,12.2,0.741
0,12.2,0.737
0,12.2,0.706
0,11.7,0.692
0,11.1,0.697
0,10.6,0.711
0,9.1,0.728
0,7.6,0.75
0,6.1,0.768
0.003,7.2,0.78
0.195,8.3,0.746
0.441,9.4,0.818
0.608,9.8,0.914
0.698,10.2,0.885
0.745,10.6,0.818
0.717,10.4,0.739
0.639,10.2,0.667
0.447,10,0.624
0.233,9.8,0.58
0.04,9.6,0.551
0,9.4,0.618
0,9.6,0.692
0,9.8,0.743
0,10,0.754
0,10,0.739
0,10,0.674
0,10,0.61
0,10,0.588
0,10,0.475
0,10,0.391
0,9.6,0.378
0,9.3,0.388
0,8.9,0.481
0,8.9,0.543
0.021,8.9,0.599
0.086,8.9,0.674
0.226,10,0.812
0.27,11.1,0.835
0.298,12.2,0.788
0.31,11.3,0.704
0.333,10.3,0.635
0.222,9.4,0.566
0.073,7.9,0.463
0.014,6.5,0.407
0,5,0.472
0,5.2,0.527
0,5.4,0.61
0,5.6,0.663
0,5.2,0.632
0,4.8,0.618
0,4.4,0.622
0,4.2,0.571
0,4.1,0.52
