name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.1660712829541664,0.168881667090582
u_t_amb,0.0001272072466301293,0.0004193163321221846
capex_pv,0.017109881635069584,0.017414562186555148
opex_pv,0.0006539906585281458,0.0012006321335577635
capex_pemel,0.42632828609077844,0.43224055249659665
opex_pemel,0.07888098024043871,0.08116134517666657
life_pemel,0.019874685640679637,0.020801741920461168
repl_pemel,0.000144576598888429,0.0006258614867844059
capex_dcdc,0.006520637235864301,0.0076272330204057
opex_dcdc,0.0027014072890961076,0.0033494253415091895
int_rate,0.2085705506913864,0.21338962061600775
infl_rate,0.06280551298158006,0.06309904293564511
