total electricity
1.392385399
1.321830981
1.321546851
1.325085784
1.422053676
1.761966741
2.326471788
2.210170345
1.953862206
2.034513428
1.853030393
1.692017062
1.525293117
1.436041234
1.489454215
1.762359543
2.28602748
2.666757968
2.970842314
3.098075043
2.842882191
2.358273422
1.896232508
1.404091182
