name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.0669580174346116,0.06826463443383228
u_t_amb,7.140994427816622e-05,0.0003932582369266242
capex_pv,0.10955271865409852,0.11123384148730699
opex_pv,0.0025283887661409613,0.0027976967348112072
capex_pemel,0.32756824596080475,0.33120472249154737
opex_pemel,0.05647560138854461,0.057993019907101644
life_pemel,0.01207642678432625,0.012609501031567525
repl_pemel,0.00039899117991989443,0.000832825521807731
capex_dcdc,0.02029565080926526,0.020746135374259452
opex_dcdc,0.006657672930760874,0.007531473736074443
int_rate,0.307124462287922,0.3106272029111012
infl_rate,0.08232026492229044,0.08373783707070064
