name,First-order Sobol indices,Total-order Sobol indices
u_sol_irr,0.0035527119120085495,0.004113561325547302
u_t_amb,7.441855089750034e-05,0.0004865458613835557
capex_pv,0.028966147760526383,0.02915748330538831
opex_pv,0.0012211266843635577,0.0017749589643459354
capex_pemel,0.5227033225383805,0.5286910253367162
opex_pemel,0.09879520635984007,0.1006885613779338
life_pemel,0.023152447022160946,0.02440490020178004
repl_pemel,0.00012480934412279938,0.0007609659579905627
capex_dcdc,3.18994036966503e-05,0.0007236817707231278
opex_dcdc,3.483133406984225e-06,0.00032161817380366707
int_rate,0.23873243754835854,0.24337987291504018
infl_rate,0.07389807359188745,0.07424074095969749
